from	to	source
PGSC0003DMC400037350	PBdnRY1_3828	panTr
PGSC0003DMC400037387	PBdnRY1_3828	panTr
PGSC0003DMC402000072	PBdnRY1_3828	panTr
PGSC0003DMC402000097	PBdnRY1_3828	panTr
PGSC0003DMC402000271	PBdnRY1_3828	panTr
Sotub09g007450.1.1	PBdnRY1_3828	panTr
Sotub09g007460.1.1	PBdnRY1_3828	panTr
Sotub10g010100.1.1	PBdnRY1_3828	panTr
CLCdnDe10_10220	PBdnRY1_3828	panTr
CLCdnDe10_44811	PBdnRY1_3828	panTr
CLCdnDe11_11287	PBdnRY1_3828	panTr
CLCdnDe11_11288	PBdnRY1_3828	panTr
CLCdnDe12_10077	PBdnRY1_3828	panTr
CLCdnDe12_10078	PBdnRY1_3828	panTr
CLCdnDe12_40274	PBdnRY1_3828	panTr
CLCdnDe12_60347	PBdnRY1_3828	panTr
CLCdnDe12_63343	PBdnRY1_3828	panTr
CLCdnDe13_13006	PBdnRY1_3828	panTr
CLCdnDe13_43700	PBdnRY1_3828	panTr
CLCdnDe13_63575	PBdnRY1_3828	panTr
CLCdnDe14_11086	PBdnRY1_3828	panTr
CLCdnDe14_13304	PBdnRY1_3828	panTr
CLCdnDe14_27524	PBdnRY1_3828	panTr
CLCdnDe14_53931	PBdnRY1_3828	panTr
CLCdnDe3_11232	PBdnRY1_3828	panTr
CLCdnDe3_11234	PBdnRY1_3828	panTr
CLCdnDe3_13592	PBdnRY1_3828	panTr
CLCdnDe3_15238	PBdnRY1_3828	panTr
CLCdnDe4_11143	PBdnRY1_3828	panTr
CLCdnDe4_14167	PBdnRY1_3828	panTr
CLCdnDe4_25646	PBdnRY1_3828	panTr
CLCdnDe4_47374	PBdnRY1_3828	panTr
CLCdnDe5_64509	PBdnRY1_3828	panTr
CLCdnDe6_42228	PBdnRY1_3828	panTr
CLCdnDe6_67152	PBdnRY1_3828	panTr
CLCdnDe7_10604	PBdnRY1_3828	panTr
CLCdnDe7_65429	PBdnRY1_3828	panTr
TDe_comp114097_c0_seq10	PBdnRY1_3828	panTr
VdnDe1_266403	PBdnRY1_3828	panTr
VdnDe1_266411	PBdnRY1_3828	panTr
VdnDe1_266412	PBdnRY1_3828	panTr
VdnDe2_10998	PBdnRY1_3828	panTr
VdnDe2_10999	PBdnRY1_3828	panTr
VdnDe2_11004	PBdnRY1_3828	panTr
VdnDe2_11005	PBdnRY1_3828	panTr
VdnDe3_142603	PBdnRY1_3828	panTr
VdnDe3_142605	PBdnRY1_3828	panTr
VdnDe3_142606	PBdnRY1_3828	panTr
VdnDe3_183457	PBdnRY1_3828	panTr
VdnDe3_193407	PBdnRY1_3828	panTr
VdnDe3_7640	PBdnRY1_3828	panTr
VdnDe3_7641	PBdnRY1_3828	panTr
VdnDe3_7644	PBdnRY1_3828	panTr
VdnDe3_7647	PBdnRY1_3828	panTr
VdnDe3_7648	PBdnRY1_3828	panTr
VdnDe4_114210	PBdnRY1_3828	panTr
VdnDe4_160576	PBdnRY1_3828	panTr
VdnDe4_160577	PBdnRY1_3828	panTr
VdnDe4_164026	PBdnRY1_3828	panTr
VdnDe4_58032	PBdnRY1_3828	panTr
VdnDe4_67950	PBdnRY1_3828	panTr
VdnDe4_67951	PBdnRY1_3828	panTr
VdnDe4_67953	PBdnRY1_3828	panTr
VdnDe4_80166	PBdnRY1_3828	panTr
VdnDe4_88641	PBdnRY1_3828	panTr
VdnDe5_125803	PBdnRY1_3828	panTr
VdnDe5_125804	PBdnRY1_3828	panTr
VdnDe5_148002	PBdnRY1_3828	panTr
VdnDe5_51853	PBdnRY1_3828	panTr
VdnDe5_51854	PBdnRY1_3828	panTr
VdnDe5_51855	PBdnRY1_3828	panTr
VdnDe5_51857	PBdnRY1_3828	panTr
VdnDe5_51858	PBdnRY1_3828	panTr
VdnDe5_51859	PBdnRY1_3828	panTr
VdnDe5_51860	PBdnRY1_3828	panTr
VdnDe5_51861	PBdnRY1_3828	panTr
VdnDe5_51862	PBdnRY1_3828	panTr
VdnDe5_86441	PBdnRY1_3828	panTr
VdnDe5_86442	PBdnRY1_3828	panTr
VdnDe5_86443	PBdnRY1_3828	panTr
VdnDe5_86445	PBdnRY1_3828	panTr
VdnDe5_86447	PBdnRY1_3828	panTr
VdnDe5_86448	PBdnRY1_3828	panTr
VdnDe6_100947	PBdnRY1_3828	panTr
VdnDe6_106048	PBdnRY1_3828	panTr
VdnDe6_48284	PBdnRY1_3828	panTr
VdnDe6_52249	PBdnRY1_3828	panTr
VdnDe6_52251	PBdnRY1_3828	panTr
VdnDe6_52252	PBdnRY1_3828	panTr
VdnDe6_55444	PBdnRY1_3828	panTr
VdnDe6_55445	PBdnRY1_3828	panTr
VdnDe6_55446	PBdnRY1_3828	panTr
VdnDe6_79151	PBdnRY1_3828	panTr
VdnDe6_79152	PBdnRY1_3828	panTr
VdnDe6_79153	PBdnRY1_3828	panTr
VdnDe7_1060	PBdnRY1_3828	panTr
VdnDe7_1062	PBdnRY1_3828	panTr
VdnDe7_52065	PBdnRY1_3828	panTr
VdnDe7_56640	PBdnRY1_3828	panTr
CLCdnDe12_13384	PBdnRY1_3828	panTr
CLCdnDe12_28393	PBdnRY1_3828	panTr
CLCdnDe14_39207	PBdnRY1_3828	panTr
CLCdnDe14_95324	PBdnRY1_3828	panTr
CLCdnDe4_23312	PBdnRY1_3828	panTr
CLCdnDe5_31002	PBdnRY1_3828	panTr
CLCdnDe7_33388	PBdnRY1_3828	panTr
VdnDe4_77908	PBdnRY1_3828	panTr
VdnDe4_77909	PBdnRY1_3828	panTr
VdnDe4_77910	PBdnRY1_3828	panTr
VdnDe4_77914	PBdnRY1_3828	panTr
VdnDe4_77915	PBdnRY1_3828	panTr
VdnDe4_77916	PBdnRY1_3828	panTr
VdnDe5_113510	PBdnRY1_3828	panTr
VdnDe5_113512	PBdnRY1_3828	panTr
VdnDe6_22150	PBdnRY1_3828	panTr
VdnDe6_22151	PBdnRY1_3828	panTr
VdnDe6_22152	PBdnRY1_3828	panTr
VdnDe6_22153	PBdnRY1_3828	panTr
VdnDe7_44186	PBdnRY1_3828	panTr
CLCdnDe13_12413	PBdnRY1_3828	panTr
CLCdnDe9_13437	PBdnRY1_3828	panTr
VdnDe5_114706	PBdnRY1_3828	panTr
VdnDe5_63584	PBdnRY1_3828	panTr
VdnDe6_37944	PBdnRY1_3828	panTr
VdnDe6_37945	PBdnRY1_3828	panTr
VdnDe4_140390	PBdnRY1_3828	panTr
VdnDe5_139568	PBdnRY1_3828	panTr
CLCdnPW11_563	PBdnRY1_3828	panTr
CLCdnPW14_160	PBdnRY1_3828	panTr
CLCdnPW16_10311	PBdnRY1_3828	panTr
CLCdnPW16_27302	PBdnRY1_3828	panTr
CLCdnPW17_160	PBdnRY1_3828	panTr
CLCdnPW18_189	PBdnRY1_3828	panTr
CLCdnPW19_38478	PBdnRY1_3828	panTr
CLCdnPW1_5229	PBdnRY1_3828	panTr
CLCdnPW20_36215	PBdnRY1_3828	panTr
CLCdnPW20_68	PBdnRY1_3828	panTr
CLCdnPW20_69	PBdnRY1_3828	panTr
CLCdnPW21_72416	PBdnRY1_3828	panTr
CLCdnPW23_1062	PBdnRY1_3828	panTr
CLCdnPW24_1194	PBdnRY1_3828	panTr
CLCdnPW26_210	PBdnRY1_3828	panTr
CLCdnPW28_32970	PBdnRY1_3828	panTr
CLCdnPW29_205	PBdnRY1_3828	panTr
CLCdnPW29_57778	PBdnRY1_3828	panTr
CLCdnPW2_7165	PBdnRY1_3828	panTr
CLCdnPW31_26577	PBdnRY1_3828	panTr
CLCdnPW32_16091	PBdnRY1_3828	panTr
CLCdnPW32_206	PBdnRY1_3828	panTr
CLCdnPW32_28562	PBdnRY1_3828	panTr
CLCdnPW33_12268	PBdnRY1_3828	panTr
CLCdnPW33_15130	PBdnRY1_3828	panTr
CLCdnPW33_21069	PBdnRY1_3828	panTr
CLCdnPW34_14782	PBdnRY1_3828	panTr
CLCdnPW35_13890	PBdnRY1_3828	panTr
CLCdnPW36_44368	PBdnRY1_3828	panTr
CLCdnPW36_66556	PBdnRY1_3828	panTr
CLCdnPW37_74894	PBdnRY1_3828	panTr
CLCdnPW39_1106	PBdnRY1_3828	panTr
CLCdnPW39_20910	PBdnRY1_3828	panTr
CLCdnPW39_248	PBdnRY1_3828	panTr
CLCdnPW3_181	PBdnRY1_3828	panTr
CLCdnPW40_220	PBdnRY1_3828	panTr
CLCdnPW41_227	PBdnRY1_3828	panTr
CLCdnPW42_19734	PBdnRY1_3828	panTr
CLCdnPW45_19936	PBdnRY1_3828	panTr
CLCdnPW46_15254	PBdnRY1_3828	panTr
CLCdnPW46_262	PBdnRY1_3828	panTr
CLCdnPW46_263	PBdnRY1_3828	panTr
CLCdnPW46_30897	PBdnRY1_3828	panTr
CLCdnPW48_204	PBdnRY1_3828	panTr
CLCdnPW48_70623	PBdnRY1_3828	panTr
CLCdnPW49_25932	PBdnRY1_3828	panTr
CLCdnPW49_90751	PBdnRY1_3828	panTr
CLCdnPW50_1042	PBdnRY1_3828	panTr
CLCdnPW50_20203	PBdnRY1_3828	panTr
CLCdnPW50_22963	PBdnRY1_3828	panTr
CLCdnPW50_29306	PBdnRY1_3828	panTr
CLCdnPW5_26483	PBdnRY1_3828	panTr
CLCdnPW6_16730	PBdnRY1_3828	panTr
CLCdnPW6_181	PBdnRY1_3828	panTr
CLCdnPW6_38198	PBdnRY1_3828	panTr
CLCdnPW7_11044	PBdnRY1_3828	panTr
CLCdnPW7_35760	PBdnRY1_3828	panTr
CLCdnPW8_9655	PBdnRY1_3828	panTr
TPW_comp75253_c1_seq1	PBdnRY1_3828	panTr
TPW_comp75253_c1_seq2	PBdnRY1_3828	panTr
VdnPW1_21821	PBdnRY1_3828	panTr
VdnPW1_21822	PBdnRY1_3828	panTr
VdnPW1_21823	PBdnRY1_3828	panTr
VdnPW1_21826	PBdnRY1_3828	panTr
VdnPW2_146734	PBdnRY1_3828	panTr
VdnPW2_14685	PBdnRY1_3828	panTr
VdnPW2_14688	PBdnRY1_3828	panTr
VdnPW2_14690	PBdnRY1_3828	panTr
VdnPW2_14691	PBdnRY1_3828	panTr
VdnPW2_14693	PBdnRY1_3828	panTr
VdnPW2_85663	PBdnRY1_3828	panTr
VdnPW2_85664	PBdnRY1_3828	panTr
VdnPW2_85667	PBdnRY1_3828	panTr
VdnPW3_8219	PBdnRY1_3828	panTr
VdnPW3_8220	PBdnRY1_3828	panTr
VdnPW3_8222	PBdnRY1_3828	panTr
VdnPW3_8223	PBdnRY1_3828	panTr
