geneID	wcID2	cvID2	classID2	wcID1	cvID1	classID1	geneCount
PGSC0003DMC400037350	stPanTr_033313	g|D|P|R	alternative	gffmerge	PGSC	gffmerge	354
PGSC0003DMC400037387	stPanTr_033313	g|D|P|R	alternative	gffmerge	PGSC	gffmerge	354
PGSC0003DMC402000072	stPanTr_033313	g|D|P|R	alternative	gffmerge	PGSC	gffmerge	354
PGSC0003DMC402000097	stPanTr_033313	g|D|P|R	alternative	gffmerge	PGSC	gffmerge	354
PGSC0003DMC402000271	stPanTr_033313	g|D|P|R	alternative	gffmerge	PGSC	gffmerge	354
Sotub09g007450.1.1	stPanTr_033313	g|D|P|R	alternative	gffmerge	Sotub	gffmerge	354
Sotub09g007460.1.1	stPanTr_033313	g|D|P|R	alternative	gffmerge	Sotub	gffmerge	354
Sotub10g010100.1.1	stPanTr_033313	g|D|P|R	alternative	gffmerge	Sotub	gffmerge	354
CLCdnDe10_10220	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe10_44811	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe11_11287	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe11_11288	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe12_10077	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe12_10078	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe12_40274	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe12_60347	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe12_63343	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe13_13006	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe13_43700	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe13_63575	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe14_11086	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe14_13304	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe14_27524	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe14_53931	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe3_11232	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe3_11234	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe3_13592	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe3_15238	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe4_11143	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe4_14167	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe4_25646	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
CLCdnDe4_47374	stPanTr_033313	g|D|P|R	cv_alternative	stCuSTr-D_00201	D	alternative	354
